Age,Social_Media_Hours,Study_Hours,Sleep_Hours,Attendance,CGPA
18,6,2,6,70,2.4
19,5,3,6,75,2.7
20,4,4,7,80,3
21,3,5,7,85,3.3
22,2,6,8,90,3.7
18,7,1,5,65,2.1
19,6,2,6,72,2.5
20,5,3,6,78,2.8
21,4,4,7,82,3.1
22,3,5,8,88,3.5
18,8,1,5,60,1.9
19,7,2,5,68,2.2
20,6,3,6,75,2.6
21,5,4,7,80,2.9
22,4,5,8,85,3.3
18,5,3,6,74,2.7
19,4,4,7,79,3
20,3,5,7,84,3.4
21,2,6,8,90,3.8
22,1,7,8,95,3.95
18,7,2,5,67,2.3
19,6,3,6,73,2.6
20,5,4,7,78,2.9
21,4,5,7,84,3.2
22,3,6,8,89,3.6
18,8,1,5,62,2
19,7,2,6,69,2.3
20,6,3,6,76,2.7
21,5,4,7,81,3
22,4,5,8,86,3.4
18,6,2,6,71,2.45
19,5,3,6,76,2.75
20,4,4,7,82,3.1
21,3,5,7,87,3.45
22,2,6,8,92,3.85
18,7,1,5,64,2.15
19,6,2,6,70,2.4
20,5,3,6,77,2.8
21,4,4,7,83,3.15
22,3,5,8,88,3.55
18,8,1,5,61,1.95
19,7,2,5,67,2.25
20,6,3,6,74,2.65
21,5,4,7,79,2.95
22,4,5,8,84,3.35
18,5,3,6,73,2.65
19,4,4,7,78,2.95
20,3,5,7,85,3.45
21,2,6,8,91,3.85
22,1,7,8,96,4
